Target,Horizon,Comparison,Delta RMSE,Delta MAE,Parameter Ratio,Seed Variability Difference,Training Time Ratio,Numerical Winner
asph,1,No-attention vs compact attention,-0.0006625343160966,-0.0005311264359527,0.6639439906651109,-7.516186988780002e-05,2.781512279593148,No-attention
asph,2,No-attention vs compact attention,-0.0004736519113541,-0.00036496989105,0.6639439906651109,-0.0001516904957333,1.5322979040519469,No-attention
asph,5,No-attention vs compact attention,-0.0028381091770695,-0.0019560502941375,0.6639439906651109,0.0015484716711154998,2.1987582829077352,No-attention
mtc,1,No-attention vs compact attention,-0.0002269520938854,-0.0002133400036294,0.6639439906651109,-0.00010808610973000001,0.741894478250359,No-attention
mtc,2,No-attention vs compact attention,-0.0005543697349996,-4.763101876508954e-05,0.6639439906651109,-0.00039122999633999997,0.9184620956832668,No-attention
mtc,5,No-attention vs compact attention,-4.8893667954519326e-05,0.0002860890234932,0.6639439906651109,0.00021179159308300005,0.8283961505282684,No-attention
asph,1,Original 23K vs compact attention,-0.0015023252655494,-0.0012945245368117,26.10151691948658,-0.00011857775739550002,1.5483364064824323,Original 23K
asph,2,Original 23K vs compact attention,0.0023654672888939,0.0020994006546991,26.10151691948658,0.00010806750737870003,1.4061661085978083,Compact attention
asph,5,Original 23K vs compact attention,-0.0022757403775955,-0.001553064747267,26.10151691948658,0.00015325987049199987,0.5376575691624504,Original 23K
mtc,1,Original 23K vs compact attention,0.0031444654628142,-0.0005443327967001,26.10151691948658,0.00035036891524629985,0.2233622535847227,Compact attention
mtc,2,Original 23K vs compact attention,0.0010512742298513,0.0007653525072812,26.10151691948658,0.0004867234449794,0.3480855439533457,Compact attention
mtc,5,Original 23K vs compact attention,0.0001179519137091,-0.0012075985628618,26.10151691948658,-0.00030967514164039996,0.2254292319791753,Compact attention
