Model,Model Family,Parameter Count,Total Runtime,Median Fit Time,Maximum Fit Time,Number of Fits,Relative Cost,model,model_family,mean_primary_rmse
ARIMA,statistical,,420.2772332677463,,,182,10767183.09776444,ARIMA,statistical,0.033835245819086465
Drift,statistical,,9.226620507737e-05,,,182,2.363790006133951,Drift,statistical,0.04569397068947376
ETS,statistical,,2.1317739665585878,,,182,54614.427820697754,ETS,statistical,0.0370156702649106
LinearTrend,statistical,,0.19495400031640442,,,182,4994.5732266469795,LinearTrend,statistical,0.11118509206397643
Naive,statistical,,3.90331648911039e-05,,,182,1.0,Naive,statistical,0.03692922458569977
Theta,statistical,,4.245316600407628,,,182,108761.78276220651,Theta,statistical,0.029467630224383982
RandomForest,classical_ml,,12735.882789500582,0.1942000999697484,0.5473435000167228,134,326283631.49725616,RandomForest,classical_ml,0.03294774927718497
SVR,classical_ml,,198.4782016997924,0.0007613500056322,0.0033154999837279,134,5084860.585953352,SVR,classical_ml,0.031270884505497136
XGBoost,classical_ml,,726.3319743002648,0.0278490000055171,0.0424177999957464,134,18608072.81004785,XGBoost,classical_ml,0.0313298541887701
BiLSTM,primary_neural,721.0,3370.656313400017,2.225099950002914,7.084954200006905,1340,86353651.38347334,BiLSTM,primary_neural,0.031641264588358066
CNN_BiLSTM_Attention_Compact,primary_neural,857.0,1998.6317817999225,1.4749946000083582,3.372457499994198,1340,51203426.30108975,CNN_BiLSTM_Attention_Compact,primary_neural,0.031154236109189087
CNN_GRU,primary_neural,681.0,2499.6488047000894,1.6033396499988157,5.309617800012347,1340,64039101.40706493,CNN_GRU,primary_neural,0.031049502595458998
CNN_LSTM,primary_neural,889.0,2213.6496377000585,1.4793452999947476,3.867077799994149,1340,56712020.24933864,CNN_LSTM,primary_neural,0.03138464820533878
CausalCNN,primary_neural,33.0,2172.1327675999055,1.603796200004581,3.1668048999999883,1340,55648389.61072713,CausalCNN,primary_neural,0.031107822026299234
GRU,primary_neural,273.0,2878.8510042000707,2.088358450004307,3.817943499991088,1340,73753973.37703952,GRU,primary_neural,0.032064085461511085
LSTM,primary_neural,361.0,1898.5849934998841,1.3577058500013663,3.1704765999893425,1340,48640303.66988236,LSTM,primary_neural,0.03239610682118951
