Target,Horizon,Best Statistical Model,Statistical RMSE,Best Classical ML Model,ML RMSE,Best Primary Neural Model,Neural RMSE,Best Overall Model,Overall RMSE,Overall MAE,Overall MASE
asph,1,ETS,0.0023090150465795,RandomForest,0.0015497047646075,BiLSTM,0.001729260906627,RandomForest,0.0015497047646075,0.0009912677665827,0.1904808083861346
asph,2,ETS,0.0045888430318396,RandomForest,0.0032764633728748,CausalCNN,0.0044403242234332,RandomForest,0.0032764633728748,0.00267361980056,0.4996202638684184
asph,5,Naive,0.0118166106330101,SVR,0.0179079976203072,CNN_GRU,0.0244920973802665,Naive,0.0118166106330101,0.0093850626650804,1.5681908456444122
mtc,1,Theta,0.0308287789482216,SVR,0.0354045898575378,CausalCNN,0.0302145550200068,CausalCNN,0.0302145550200068,0.0151371605586653,0.3825558343404556
mtc,2,Theta,0.0468579355281335,XGBoost,0.0397257817673518,BiLSTM,0.0447023986111236,XGBoost,0.0397257817673518,0.0184845061664531,0.4761176288680905
mtc,5,ARIMA,0.0743009294244163,RandomForest,0.0776301895081751,CNN_BiLSTM_Attention_Compact,0.0753148661814957,ARIMA,0.0743009294244163,0.0548613463004572,1.3039740016183523
