Target,Horizon,Comparison,Delta RMSE,Delta MAE,Parameter Ratio,Seed Variability Difference,Training Time Ratio,Numerical Winner
asph,1,No-attention vs compact attention,-0.0006625343160966,-0.0005311264359527,0.6639439906651109,-7.516186988780002e-05,2.781512279593148,No-attention
asph,2,No-attention vs compact attention,-0.0004736519113541,-0.00036496989105,0.6639439906651109,-0.0001516904957333,1.5322979040519469,No-attention
asph,5,No-attention vs compact attention,-0.0028381091770695,-0.0019560502941375,0.6639439906651109,0.0015484716711154998,2.1987582829077352,No-attention
mtc,1,No-attention vs compact attention,-0.0002269520938854,-0.0002133400036294,0.6639439906651109,-0.00010808610973000001,0.741894478250359,No-attention
mtc,2,No-attention vs compact attention,-0.0005543697349996,-4.763101876508954e-05,0.6639439906651109,-0.00039122999633999997,0.9184620956832668,No-attention
mtc,5,No-attention vs compact attention,-4.8893667954519326e-05,0.0002860890234932,0.6639439906651109,0.00021179159308300005,0.8283961505282684,No-attention
