Target,Horizon,Comparison,Delta RMSE,Delta MAE,Parameter Ratio,Seed Variability Difference,Training Time Ratio,Numerical Winner
asph,1,Original 23K vs compact attention,-0.0015023252655494,-0.0012945245368117,26.10151691948658,-0.00011857775739550002,1.5483364064824323,Original 23K
asph,2,Original 23K vs compact attention,0.0023654672888939,0.0020994006546991,26.10151691948658,0.00010806750737870003,1.4061661085978083,Compact attention
asph,5,Original 23K vs compact attention,-0.0022757403775955,-0.001553064747267,26.10151691948658,0.00015325987049199987,0.5376575691624504,Original 23K
mtc,1,Original 23K vs compact attention,0.0031444654628142,-0.0005443327967001,26.10151691948658,0.00035036891524629985,0.2233622535847227,Compact attention
mtc,2,Original 23K vs compact attention,0.0010512742298513,0.0007653525072812,26.10151691948658,0.0004867234449794,0.3480855439533457,Compact attention
mtc,5,Original 23K vs compact attention,0.0001179519137091,-0.0012075985628618,26.10151691948658,-0.00030967514164039996,0.2254292319791753,Compact attention
