architecture,mean_sd,median_sd,max_sd
BiLSTM,0.00046037103386778526,0.0004045618316513,0.0010479183382703
CNN_BiLSTM_Attention_Compact,0.00077063476873325,0.0007513022848144001,0.0012473345730598
CNN_BiLSTM_Attention_Original23K,0.00088232924191,0.00094613500121355,0.0014005944435518
CNN_BiLSTM_Compact_NoAttention,0.0009429839008178167,0.00060937596541615,0.0027958062441753
CNN_GRU,0.0005867521073447166,0.0006248704629829,0.0009102661147532
CNN_LSTM,0.0005306906143751333,0.00048167544744714995,0.0009871604622056
CausalCNN,0.00047295899606328333,0.0004818321897236,0.0007651376895637
GRU,0.0003213964450009667,0.0003149998079507,0.0005349596362782
LSTM,0.0006949450991534,0.00046304390422705,0.0019663837311585
