target,horizon,model_family,model,model_label,representation,nominal_coverage,forecast_n,valid_interval_n,missing_or_invalid_interval_n,empirical_coverage,mean_interval_width,median_interval_width,coverage_direction,interval_method,undefined_reason,small_sample_flag
MTC,2,primary_neural,LSTM,LSTM,first_difference_direct,0.8,17,0,17,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,2,primary_neural,LSTM,LSTM,first_difference_direct,0.95,17,0,17,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
MTC,2,statistical,ARIMA,ARIMA,statistical_native,0.8,17,17,0,0.47058823529411764,0.0016587690617160516,0.0016757064364316676,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,ARIMA,ARIMA,statistical_native,0.95,17,17,0,0.5294117647058824,0.0025368683610101197,0.0025627718402976285,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,Drift,Drift,statistical_native,0.8,17,17,0,0.7647058823529411,0.013425715702716863,0.013443822380552639,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,Drift,Drift,statistical_native,0.95,17,17,0,0.8235294117647058,0.014366189871449945,0.014377116113275967,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,ETS,ETS,statistical_native,0.8,17,17,0,0.4117647058823529,0.0017323663459231544,0.0017763039601490505,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,ETS,ETS,statistical_native,0.95,17,17,0,0.4117647058823529,0.0019866709737044316,0.0020151005565383073,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,LinearTrend,LinearTrend,statistical_native,0.8,17,17,0,0.0,0.036818514545274496,0.039461746384274576,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,LinearTrend,LinearTrend,statistical_native,0.95,17,17,0,0.7647058823529411,0.05751983638304464,0.06163403816353075,undercoverage,frozen statistical model-native or training-only empirical method,,
MTC,2,statistical,Naive,Naive,statistical_native,0.8,17,17,0,0.0,0.015312887133653419,0.015461830837909751,undercoverage,frozen statistical model-native or training-only empirical method,,
