target,horizon,model_family,model,model_label,representation,nominal_coverage,forecast_n,valid_interval_n,missing_or_invalid_interval_n,empirical_coverage,mean_interval_width,median_interval_width,coverage_direction,interval_method,undefined_reason,small_sample_flag
ASPH,2,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,linear_detrend_direct,0.8,8,0,8,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,2,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,linear_detrend_direct,0.95,8,0,8,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,2,neural_ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,0.8,8,0,8,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
