target,horizon,model_family,role,model,model_label,representation,lookback,seed,summary_type,expected_n,successful_n,failed_n,completeness_percent,ranking_eligible,rmse,mae,mase,rmsse,smape_percent,directional_accuracy_percent,mean_error,median_error,r_squared,undefined_reason
ASPH,5,neural_ablation,ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05659116318376941,0.056567718368024524,10.986382262663932,9.466515031787324,16.95800180112498,0.0,-0.056567718368024524,-0.057128442658878176,-716.7685414618944,
ASPH,5,primary_neural,primary,BiLSTM,BiLSTM,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.06080778922961287,0.0607622666608723,11.819549093071087,10.192684950565216,18.103748891515973,0.0,-0.0607622666608723,-0.06139342914028412,-827.7157775308465,
ASPH,5,primary_neural,primary,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05766463117544335,0.057620475647544835,11.208050529277688,9.665661302998956,17.248431455412252,0.0,-0.057620475647544835,-0.05786740967999188,-744.2572611251483,
ASPH,5,primary_neural,primary,CNN_GRU,CNN_GRU,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05268775530372179,0.05259670509904861,10.194894874976196,8.79134047529812,15.855326220121944,0.0,-0.05259670509904861,-0.05299724406657891,-621.1664261585125,
ASPH,5,primary_neural,primary,CNN_LSTM,CNN_LSTM,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.058089581391294824,0.0580741621578074,11.283438539095682,9.722268257605831,17.371565646149648,0.0,-0.0580741621578074,-0.058231914611235336,-755.2818407380072,
ASPH,5,primary_neural,primary,CausalCNN,CausalCNN,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05972144839871752,0.059685242034325514,11.607417702879744,10.007566336558916,17.81143410854014,0.0,-0.059685242034325514,-0.060934276187245395,-798.3699952219769,
ASPH,5,primary_neural,primary,GRU,GRU,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05444316958846167,0.0544128222901593,10.560992441088754,9.099763515781653,16.36334405855516,0.0,-0.0544128222901593,-0.05354203804860108,-663.3148813163695,
ASPH,5,primary_neural,primary,LSTM,LSTM,linear_detrend_direct,3.0,ensemble_mean,neural_ensemble_mean,5,5,0,100.0,True,0.05937131886546592,0.059343949236011474,11.537594399991734,9.945060976325756,17.718447239853386,0.0,-0.059343949236011474,-0.060173715592293286,-789.0245217197387,
ASPH,5,statistical,primary,ARIMA,ARIMA,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.004323660578442335,0.003877225528040773,0.7542149796871028,0.7219447581424739,1.2799831656933487,100.0,0.003340790599911081,0.004368514239662613,-3.189771758432938,
ASPH,5,statistical,primary,Drift,Drift,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.0325796114797287,0.032523878996243004,6.298471062607996,5.430129327919869,10.110031191120653,0.0,-0.032523878996243004,-0.03285290595155227,-236.89153068261152,
ASPH,5,statistical,primary,ETS,ETS,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.005259067141794424,0.004104801506723954,0.767579774902221,0.8495014077851678,1.3229750528475892,80.0,-0.004104801506723954,-0.0028400056908242655,-5.198756971489005,
ASPH,5,statistical,primary,LinearTrend,LinearTrend,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.05223298808384555,0.05219938694806782,10.15277618775788,8.754197163037894,15.753842330996019,0.0,-0.05219938694806782,-0.05280697923436101,-610.4724874511086,
ASPH,5,statistical,primary,Naive,Naive,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.0077553892716049405,0.007746109258307199,1.5057924634820996,1.2986889257534773,2.5059228952976103,0.0,-0.007746109258307199,-0.00793944559624199,-12.480139357609614,
ASPH,5,statistical,primary,Theta,Theta,statistical_native,,20260810,individual_seed_or_deterministic_fit,5,5,0,100.0,True,0.02010997161936106,0.020092386303653852,3.8947947809219556,3.355885972375175,6.370208349410456,0.0,-0.020092386303653852,-0.020492263999375038,-89.6379541589415,
MTC,1,classical_ml,primary,RandomForest,RandomForest [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0010069052164890888,0.0007913235085696968,0.06115656662321737,0.07555607059002002,0.01772754241234577,100.0,0.00015028301432678463,-8.240092880651417e-05,0.9996502574818538,
MTC,1,classical_ml,primary,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.009398977993220986,0.008613330000187651,0.6635359866987263,0.6980463569196819,0.19270193700394417,100.0,-0.008613330000187651,-0.006845408902974803,0.9695257857540556,
MTC,1,classical_ml,primary,SVR,SVR [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0005288034277732541,0.0004357255674714998,0.03353766473594064,0.039079940695167896,0.009756165221257263,100.0,-4.0610108433271184e-05,-3.081118781889103e-05,0.9999035372199104,
MTC,1,classical_ml,primary,SVR,SVR [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.009077737342983349,0.005449005856527942,0.40704685325322526,0.65169609570152,0.12295910883257762,100.0,-0.005405640839396566,-0.0015010534561556987,0.9715732980341821,
MTC,1,classical_ml,primary,XGBoost,XGBoost [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,18,18,0,100.0,True,0.0008655509104205842,0.0006900777401941641,0.053190121256483786,0.06456061767388194,0.015460398579165377,100.0,-5.9079161240186785e-05,-0.00011644498556062644,0.9997415619318196,
