model_family,planned_fit_count,successful_fit_count,unresolved_failed_fit_count,attempted_fit_count,failed_attempt_count,cumulative_per_fit_elapsed_seconds,cumulative_estimator_fit_seconds,median_per_fit_elapsed_seconds,maximum_per_fit_elapsed_seconds
classical_ml,426,426,0,426,0,179.53351389995078,37.87830419996317,0.05215929999758373,4.805252500002098
neural_ablation,1420,1420,0,1420,0,1250.4070825000017,1205.6453538999267,0.8843361500003084,5.135659400002623
primary_neural,4970,4970,0,4971,1,5693.467304999918,5550.405545700094,1.0807972500006144,6.869863299994904
statistical,426,426,0,426,0,321.6625747999424,3.569796799958567,0.013319599998794729,5.704190199998266
